,year,team_1,seed_1,round_1,current_round,team_2,seed_2,round_2,badj_em_1,badj_o_1,badj_d_1,wab_1,barthag_1,talent_1,elite_sos_1,win_percent_1,pppo_1,k_off_1,avg_hgt_1,badj_em_2,badj_o_2,badj_d_2,wab_2,barthag_2,talent_2,elite_sos_2,win_percent_2,pppo_2,k_off_2,avg_hgt_2,winner,badj_em_diff,badj_o_diff,badj_d_diff,wab_diff,barthag_diff,talent_diff,elite_sos_diff,win_percent_diff,pppo_diff,k_off_diff,avg_hgt_diff
38,2023,Creighton,6,8,64,North Carolina St.,11,64,21.0,92.8,113.8,1.9,0.913,67.359,32.269,63.63636364,1.095,109.592,77.87,15.2,113.8,92.8,1.1,0.84,54.561,24.085,69.6969697,1.115,111.298,77.043,1,5.800000000000001,-21.0,21.0,0.7999999999999998,0.07300000000000006,12.797999999999995,8.183999999999997,-6.060606059999998,-0.020000000000000018,-1.706000000000003,0.8269999999999982
39,2023,Baylor,3,32,64,UC Santa Barbara,14,64,21.4,99.5,120.9,5.3,0.904,57.276,36.633,68.75,1.132,113.141,77.08,4.7,120.9,99.5,-1.4,0.624,33.348,10.607,78.125,1.096,109.642,77.86,1,16.7,-21.400000000000006,21.400000000000006,6.699999999999999,0.28,23.928000000000004,26.026000000000003,-9.375,0.03599999999999981,3.4990000000000094,-0.7800000000000011
40,2023,Missouri,7,32,64,Utah St.,10,64,13.7,103.8,117.5,3.5,0.806,21.934,28.374,72.72727273,1.123,112.445,76.423,17.5,117.5,103.8,3.2,0.869,15.41,22.797,75.75757576,1.121,111.983,78.239,1,-3.8000000000000007,-13.700000000000003,13.700000000000003,0.2999999999999998,-0.06299999999999994,6.524000000000001,5.576999999999998,-3.030303029999999,0.0020000000000000018,0.4619999999999891,-1.8160000000000025
41,2023,Arizona,2,64,64,Princeton,15,16,24.3,95.4,119.7,7.6,0.932,73.326,29.572,82.35294118,1.134,113.208,78.469,6.0,119.7,95.4,-3.2,0.659,0.2,11.173,70.37037037,1.081,108.055,77.419,0,18.3,-24.299999999999997,24.299999999999997,10.8,0.273,73.12599999999999,18.399,11.982570809999999,0.052999999999999936,5.152999999999992,1.0499999999999972
42,2023,Purdue,1,64,64,Fairleigh Dickinson,16,32,25.9,92.6,118.5,9.4,0.945,58.603,31.016,85.29411765,1.135,113.435,78.56,-12.4,118.5,92.6,-12.2,0.216,0.2,5.422,53.125,1.088,108.88,73.373,0,38.3,-25.900000000000006,25.900000000000006,21.6,0.729,58.403,25.593999999999998,32.169117650000004,0.04699999999999993,4.555000000000007,5.186999999999998
43,2023,Memphis,8,64,64,Florida Atlantic,9,4,19.7,94.2,113.9,4.7,0.899,47.843,27.313,76.47058824,1.088,108.548,76.823,17.4,113.9,94.2,4.8,0.874,17.083,16.095,90.625,1.129,112.947,76.04,0,2.3000000000000007,-19.700000000000003,19.700000000000003,-0.09999999999999964,0.025000000000000022,30.760000000000005,11.218,-14.154411760000002,-0.040999999999999925,-4.399000000000001,0.782999999999987
44,2023,Duke,5,32,64,Oral Roberts,12,64,18.8,93.1,111.9,4.5,0.892,81.592,26.527,76.47058824,1.1,110.245,79.085,10.7,111.9,93.1,1.6,0.761,19.093,13.482,86.66666667,1.165,116.53,77.111,1,8.100000000000001,-18.80000000000001,18.80000000000001,2.9,0.131,62.498999999999995,13.045000000000002,-10.19607843,-0.06499999999999995,-6.284999999999997,1.9739999999999895
45,2023,Tennessee,4,16,64,Louisiana Lafayette,13,64,24.9,86.2,111.1,2.8,0.949,60.04,28.429,69.6969697,1.08,108.476,77.428,8.5,111.1,86.2,-0.5,0.715,25.412,14.493,76.66666667,1.096,109.745,76.564,1,16.4,-24.89999999999999,24.89999999999999,3.3,0.23399999999999999,34.628,13.935999999999998,-6.969696970000001,-0.016000000000000014,-1.2690000000000055,0.8640000000000043
46,2023,Kentucky,6,32,64,Providence,11,64,16.9,97.8,114.7,1.6,0.862,61.864,29.746,65.625,1.115,111.767,77.638,14.5,114.7,97.8,1.1,0.825,60.631,29.545,65.625,1.12,111.864,76.505,1,2.3999999999999986,-16.900000000000006,16.900000000000006,0.5,0.03700000000000003,1.232999999999997,0.20099999999999696,0.0,-0.0050000000000001155,-0.09700000000000841,1.1330000000000098
47,2023,Kansas St.,3,8,64,Montana St.,14,64,17.2,93.1,110.3,4.3,0.875,48.155,30.879,71.875,1.051,104.952,76.284,7.1,110.3,93.1,-2.6,0.693,12.887,13.113,71.875,1.051,105.386,77.313,1,10.1,-17.200000000000003,17.200000000000003,6.9,0.18200000000000005,35.268,17.766000000000002,0.0,0.0,-0.4339999999999975,-1.0289999999999964
48,2023,Michigan St.,7,16,64,USC,10,64,16.6,95.0,111.6,2.4,0.864,70.568,34.618,61.29032258,1.06,105.971,77.744,14.4,111.6,95.0,2.1,0.832,71.583,27.758,68.75,1.059,105.647,79.03,1,2.200000000000001,-16.599999999999994,16.599999999999994,0.2999999999999998,0.03200000000000003,-1.0150000000000006,6.860000000000003,-7.4596774199999984,0.001000000000000112,0.32399999999999807,-1.2860000000000014
49,2023,Marquette,2,32,64,Vermont,15,64,23.0,96.0,119.0,7.6,0.922,59.052,30.614,82.35294118,1.132,113.246,77.191,6.7,119.0,96.0,-3.8,0.676,4.102,13.048,68.75,1.09,109.144,76.477,1,16.3,-23.0,23.0,11.399999999999999,0.246,54.95,17.566000000000003,13.602941180000002,0.041999999999999815,4.10199999999999,0.7139999999999986
50,2023,Houston,1,16,64,Northern Kentucky,16,64,29.1,88.0,117.1,8.1,0.964,68.424,23.376,91.17647059,1.158,116.021,76.743,0.0,117.1,88.0,-6.7,0.5,3.153,10.838,62.5,1.044,104.474,76.513,1,29.1,-29.099999999999994,29.099999999999994,14.8,0.46399999999999997,65.271,12.538000000000002,28.676470589999994,0.11399999999999988,11.546999999999997,0.22999999999998977
51,2023,Iowa,8,64,64,Auburn,9,32,16.2,102.7,118.9,0.3,0.844,48.548,30.692,59.375,1.139,113.509,78.356,17.7,118.9,102.7,1.1,0.881,47.081,30.519,62.5,1.054,105.387,76.74,0,-1.5,-16.200000000000003,16.200000000000003,-0.8,-0.03700000000000003,1.4669999999999987,0.17300000000000182,-3.125,0.08499999999999996,8.122,1.6159999999999997
52,2023,Miami FL,5,4,64,Drake,12,64,15.9,101.4,117.3,3.7,0.842,44.964,23.676,78.125,1.147,114.539,76.786,11.8,117.3,101.4,-0.7,0.791,12.076,12.124,78.78787879,1.084,108.714,76.357,1,4.1,-15.899999999999991,15.899999999999991,4.4,0.050999999999999934,32.888,11.551999999999998,-0.6628787899999935,0.06299999999999994,5.825000000000003,0.42900000000000205
53,2023,Indiana,4,32,64,Kent St.,13,64,16.7,95.8,112.5,3.4,0.864,83.728,33.014,66.66666667,1.092,108.931,78.592,11.0,112.5,95.8,0.9,0.779,0.364,14.799,81.25,1.088,108.778,75.69,1,5.699999999999999,-16.700000000000003,16.700000000000003,2.5,0.08499999999999996,83.36399999999999,18.215000000000003,-14.583333330000002,0.0040000000000000036,0.1529999999999916,2.902000000000001
