,year,team_1,seed_1,round_1,current_round,team_2,seed_2,round_2,badj_em_1,badj_o_1,badj_d_1,wab_1,barthag_1,talent_1,elite_sos_1,win_percent_1,pppo_1,k_off_1,avg_hgt_1,badj_em_2,badj_o_2,badj_d_2,wab_2,barthag_2,talent_2,elite_sos_2,win_percent_2,pppo_2,k_off_2,avg_hgt_2,winner,badj_em_diff,badj_o_diff,badj_d_diff,wab_diff,barthag_diff,talent_diff,elite_sos_diff,win_percent_diff,pppo_diff,k_off_diff,avg_hgt_diff
195,2019,Minnesota,10,32,32,Michigan St.,2,4,12.9,96.6,109.5,2.7,0.809,71.523,34.824,61.76471,1.038,103.298,78.493,28.1,109.5,96.6,10.6,0.956,70.057,37.031,82.35294,1.144,114.269,77.545,0,-15.200000000000001,-12.900000000000006,12.900000000000006,-7.8999999999999995,-0.1469999999999999,1.465999999999994,-2.2070000000000007,-20.588230000000003,-0.10599999999999987,-10.971000000000004,0.9479999999999933
196,2019,Gonzaga,1,8,32,Baylor,9,32,32.5,91.6,124.1,7.1,0.971,55.473,21.704,90.90909,1.241,123.829,78.212,13.9,124.1,91.6,0.9,0.821,57.749,32.475,59.375,1.071,107.248,76.915,1,18.6,-32.5,32.5,6.199999999999999,0.15000000000000002,-2.2760000000000034,-10.771,31.534090000000006,0.17000000000000015,16.58099999999999,1.296999999999997
197,2019,Murray St.,12,32,32,Florida St.,4,16,12.0,98.5,110.5,1.3,0.79,8.231,12.081,86.2069,1.147,114.766,77.219,19.2,110.5,98.5,7.7,0.898,59.895,32.314,79.41176,1.067,106.629,78.662,0,-7.199999999999999,-12.0,12.0,-6.4,-0.10799999999999998,-51.664,-20.233,6.7951400000000035,0.08000000000000007,8.137,-1.443000000000012
198,2019,Buffalo,6,32,32,Texas Tech,3,2,18.0,95.2,113.2,5.7,0.88,7.39,17.002,90.90909,1.13,112.955,76.493,25.8,113.2,95.2,7.0,0.953,47.191,29.682,81.25,1.075,108.08,76.923,0,-7.800000000000001,-18.0,18.0,-1.2999999999999998,-0.07299999999999995,-39.801,-12.68,9.659090000000006,0.05499999999999994,4.875,-0.4300000000000068
199,2019,Florida,10,32,32,Michigan,2,16,18.4,91.4,109.8,0.6,0.892,79.849,34.588,55.88235,1.042,104.227,77.265,29.1,109.8,91.4,9.2,0.966,80.432,32.909,82.35294,1.078,107.986,77.708,0,-10.700000000000003,-18.39999999999999,18.39999999999999,-8.6,-0.07399999999999995,-0.5829999999999984,1.679000000000002,-26.47059,-0.03600000000000003,-3.7590000000000003,-0.44299999999999784
200,2019,Virginia,1,1,32,Oklahoma,9,32,33.9,88.7,122.6,11.1,0.976,73.381,33.411,90.625,1.171,117.113,77.203,16.1,122.6,88.7,2.5,0.863,58.325,35.499,59.375,1.016,101.398,77.409,1,17.799999999999997,-33.89999999999999,33.89999999999999,8.6,0.11299999999999999,15.055999999999997,-2.088000000000001,31.25,0.15500000000000003,15.715000000000003,-0.20600000000000307
201,2019,Oregon,12,16,32,UC Irvine,13,32,13.5,92.9,106.4,-1.0,0.826,80.047,21.269,65.71429,1.061,106.247,78.551,8.5,106.4,92.9,0.9,0.724,18.762,10.843,85.29412,1.081,108.285,76.732,1,5.0,-13.5,13.5,-1.9,0.10199999999999998,61.285,10.425999999999998,-19.57983,-0.020000000000000018,-2.0379999999999967,1.8190000000000026
202,2019,Villanova,6,32,32,Purdue,3,8,16.4,98.7,115.1,3.7,0.854,68.466,25.545,73.52941,1.123,112.402,77.874,25.4,115.1,98.7,6.1,0.938,56.197,35.323,71.875,1.139,113.828,78.269,0,-9.0,-16.39999999999999,16.39999999999999,-2.3999999999999995,-0.08399999999999996,12.268999999999991,-9.777999999999999,1.6544099999999986,-0.016000000000000014,-1.426000000000002,-0.39500000000001023
203,2019,Iowa,10,32,32,Tennessee,2,16,15.9,100.5,116.4,3.2,0.844,55.647,31.994,66.66667,1.106,110.452,78.354,27.9,116.4,100.5,9.8,0.951,55.685,34.04,84.84848,1.164,116.307,77.811,0,-11.999999999999998,-15.900000000000006,15.900000000000006,-6.6000000000000005,-0.10699999999999998,-0.03800000000000381,-2.0459999999999994,-18.18181,-0.05799999999999983,-5.855000000000004,0.5429999999999922
204,2019,North Carolina,1,16,32,Washington,9,32,28.0,91.2,119.2,10.0,0.956,76.654,36.978,81.81818,1.126,112.438,78.502,12.6,119.2,91.2,3.3,0.811,74.311,23.31,76.47059,1.036,103.564,77.264,1,15.4,-28.0,28.0,6.7,0.1449999999999999,2.3429999999999893,13.668000000000003,5.347589999999997,0.08999999999999986,8.87400000000001,1.2379999999999995
205,2019,Auburn,5,4,32,Kansas,4,32,23.5,95.9,119.4,6.1,0.926,57.754,32.322,73.52941,1.138,113.662,76.563,20.3,119.4,95.9,8.3,0.908,89.423,38.465,73.52941,1.055,105.568,77.524,1,3.1999999999999993,-23.5,23.5,-2.200000000000001,0.018000000000000016,-31.669000000000004,-6.143000000000001,0.0,0.08299999999999996,8.094000000000008,-0.9609999999999985
206,2019,Ohio St.,11,32,32,Houston,3,16,14.2,94.1,108.3,0.9,0.834,56.419,33.733,57.57576,1.037,103.341,76.691,23.2,108.3,94.1,7.9,0.932,36.791,21.749,91.17647,1.12,112.096,76.192,0,-9.0,-14.200000000000003,14.200000000000003,-7.0,-0.09800000000000009,19.628,11.983999999999998,-33.60070999999999,-0.08300000000000018,-8.75500000000001,0.49900000000000944
207,2019,Wofford,7,32,32,Kentucky,2,8,17.9,97.9,115.8,4.2,0.873,1.063,18.861,86.66667,1.182,117.982,76.813,25.2,115.8,97.9,8.8,0.942,95.376,33.711,81.81818,1.126,112.784,78.06,0,-7.300000000000001,-17.89999999999999,17.89999999999999,-4.6000000000000005,-0.06899999999999995,-94.313,-14.849999999999998,4.848489999999998,0.05600000000000005,5.197999999999993,-1.2469999999999999
208,2019,Duke,1,8,16,Virginia Tech,4,16,31.0,88.3,119.3,11.2,0.97,88.931,37.373,85.29412,1.129,113.184,78.656,23.7,119.3,88.3,5.0,0.93,66.436,30.716,75.0,1.141,114.004,76.946,1,7.300000000000001,-31.0,31.0,6.199999999999999,0.039999999999999925,22.49499999999999,6.6569999999999965,10.294120000000007,-0.01200000000000001,-0.8200000000000074,1.710000000000008
209,2019,LSU,3,16,16,Michigan St.,2,4,21.2,97.1,118.3,7.3,0.907,66.287,30.387,81.25,1.123,112.474,77.191,28.1,118.3,97.1,10.6,0.956,70.057,37.031,82.35294,1.144,114.269,77.545,0,-6.900000000000002,-21.200000000000003,21.200000000000003,-3.3,-0.04899999999999993,-3.769999999999996,-6.643999999999998,-1.1029400000000038,-0.020999999999999908,-1.7950000000000017,-0.3539999999999992
210,2019,Gonzaga,1,8,16,Florida St.,4,16,32.5,91.6,124.1,7.1,0.971,55.473,21.704,90.90909,1.241,123.829,78.212,19.2,124.1,91.6,7.7,0.898,59.895,32.314,79.41176,1.067,106.629,78.662,1,13.3,-32.5,32.5,-0.6000000000000005,0.07299999999999995,-4.422000000000004,-10.61,11.497330000000005,0.17400000000000015,17.19999999999999,-0.45000000000000284
211,2019,Texas Tech,3,2,16,Michigan,2,16,25.8,86.3,112.1,7.0,0.953,47.191,29.682,81.25,1.075,108.08,76.923,29.1,112.1,86.3,9.2,0.966,80.432,32.909,82.35294,1.078,107.986,77.708,1,-3.3000000000000007,-25.799999999999997,25.799999999999997,-2.1999999999999993,-0.013000000000000012,-33.241,-3.2270000000000003,-1.1029400000000038,-0.0030000000000001137,0.09399999999999409,-0.7849999999999966
212,2019,Virginia,1,1,16,Oregon,12,16,33.9,88.7,122.6,11.1,0.976,73.381,33.411,90.625,1.171,117.113,77.203,13.5,122.6,88.7,-1.0,0.826,80.047,21.269,65.71429,1.061,106.247,78.551,1,20.4,-33.89999999999999,33.89999999999999,12.1,0.15000000000000002,-6.665999999999997,12.142000000000003,24.910709999999995,0.1100000000000001,10.866,-1.347999999999999
213,2019,Purdue,3,8,16,Tennessee,2,16,25.4,95.6,121.0,6.1,0.938,56.197,35.323,71.875,1.139,113.828,78.269,27.9,121.0,95.6,9.8,0.951,55.685,34.04,84.84848,1.164,116.307,77.811,1,-2.5,-25.400000000000006,25.400000000000006,-3.700000000000001,-0.013000000000000012,0.5120000000000005,1.2830000000000013,-12.973479999999995,-0.02499999999999991,-2.478999999999999,0.4579999999999984
214,2019,North Carolina,1,16,16,Auburn,5,4,28.0,91.2,119.2,10.0,0.956,76.654,36.978,81.81818,1.126,112.438,78.502,23.5,119.2,91.2,6.1,0.926,57.754,32.322,73.52941,1.138,113.662,76.563,0,4.5,-28.0,28.0,3.9000000000000004,0.029999999999999916,18.9,4.655999999999999,8.28877,-0.01200000000000001,-1.2240000000000038,1.938999999999993
215,2019,Houston,3,16,16,Kentucky,2,8,23.2,90.9,114.1,7.9,0.932,36.791,21.749,91.17647,1.12,112.096,76.192,25.2,114.1,90.9,8.8,0.942,95.376,33.711,81.81818,1.126,112.784,78.06,0,-2.0,-23.19999999999999,23.19999999999999,-0.9000000000000004,-0.009999999999999898,-58.58500000000001,-11.962,9.358289999999997,-0.005999999999999783,-0.6880000000000024,-1.8680000000000092
216,2019,Duke,1,8,8,Michigan St.,2,4,31.0,88.3,119.3,11.2,0.97,88.931,37.373,85.29412,1.129,113.184,78.656,28.1,119.3,88.3,10.6,0.956,70.057,37.031,82.35294,1.144,114.269,77.545,0,2.8999999999999986,-31.0,31.0,0.5999999999999996,0.014000000000000012,18.873999999999995,0.34199999999999875,2.941180000000003,-0.014999999999999902,-1.085000000000008,1.1110000000000042
217,2019,Gonzaga,1,8,8,Texas Tech,3,2,32.5,91.6,124.1,7.1,0.971,55.473,21.704,90.90909,1.241,123.829,78.212,25.8,124.1,91.6,7.0,0.953,47.191,29.682,81.25,1.075,108.08,76.923,0,6.699999999999999,-32.5,32.5,0.09999999999999964,0.018000000000000016,8.281999999999996,-7.977999999999998,9.659090000000006,0.16600000000000015,15.748999999999995,1.2890000000000015
218,2019,Virginia,1,1,8,Purdue,3,8,33.9,88.7,122.6,11.1,0.976,73.381,33.411,90.625,1.171,117.113,77.203,25.4,122.6,88.7,6.1,0.938,56.197,35.323,71.875,1.139,113.828,78.269,1,8.5,-33.89999999999999,33.89999999999999,5.0,0.038000000000000034,17.183999999999997,-1.911999999999999,18.75,0.03200000000000003,3.2849999999999966,-1.0660000000000025
219,2019,Auburn,5,4,8,Kentucky,2,8,23.5,95.9,119.4,6.1,0.926,57.754,32.322,73.52941,1.138,113.662,76.563,25.2,119.4,95.9,8.8,0.942,95.376,33.711,81.81818,1.126,112.784,78.06,1,-1.6999999999999993,-23.5,23.5,-2.700000000000001,-0.015999999999999903,-37.62200000000001,-1.3889999999999958,-8.28877,0.01200000000000001,0.8780000000000001,-1.4969999999999999
220,2019,Michigan St.,2,4,4,Texas Tech,3,2,28.1,91.9,120.0,10.6,0.956,70.057,37.031,82.35294,1.144,114.269,77.545,25.8,120.0,91.9,7.0,0.953,47.191,29.682,81.25,1.075,108.08,76.923,0,2.3000000000000007,-28.099999999999994,28.099999999999994,3.5999999999999996,0.0030000000000000027,22.866,7.349,1.1029400000000038,0.06899999999999995,6.189000000000007,0.6219999999999999
221,2019,Virginia,1,1,4,Auburn,5,4,33.9,88.7,122.6,11.1,0.976,73.381,33.411,90.625,1.171,117.113,77.203,23.5,122.6,88.7,6.1,0.926,57.754,32.322,73.52941,1.138,113.662,76.563,1,10.399999999999999,-33.89999999999999,33.89999999999999,5.0,0.04999999999999993,15.627000000000002,1.0889999999999986,17.09559,0.03300000000000014,3.4509999999999934,0.6400000000000006
222,2019,Texas Tech,3,2,2,Virginia,1,1,25.8,86.3,112.1,7.0,0.953,47.191,29.682,81.25,1.075,108.08,76.923,33.9,112.1,86.3,11.1,0.976,73.381,33.411,90.625,1.171,117.113,77.203,0,-8.099999999999998,-25.799999999999997,25.799999999999997,-4.1,-0.02300000000000002,-26.189999999999998,-3.7290000000000028,-9.375,-0.09600000000000009,-9.033000000000001,-0.28000000000000114
223,2018,Virginia,1,64,64,UMBC,16,32,30.2,85.0,115.2,11.3,0.971,71.072,30.429,93.93939,1.112,111.133,77.508,-3.0,115.2,85.0,-4.9,0.418,10.296,11.536,67.74194,1.05,104.772,75.848,0,33.2,-30.200000000000003,30.200000000000003,16.200000000000003,0.5529999999999999,60.776,18.893,26.197450000000003,0.062000000000000055,6.36099999999999,1.6599999999999966
224,2018,Creighton,8,64,64,Kansas St.,9,8,20.3,97.0,117.3,2.0,0.899,48.746,32.808,64.51613,1.142,114.134,77.285,16.5,117.3,97.0,2.6,0.862,47.73,31.68,66.66667,1.082,108.258,77.082,0,3.8000000000000007,-20.299999999999997,20.299999999999997,-0.6000000000000001,0.03700000000000003,1.0160000000000053,1.1280000000000001,-2.1505399999999923,0.05999999999999983,5.876000000000005,0.20300000000000296
225,2018,Kentucky,5,16,64,Davidson,12,64,19.4,95.7,115.1,4.3,0.893,95.962,31.972,70.58824,1.096,109.59,78.862,14.2,115.1,95.7,-2.9,0.816,20.885,18.185,65.625,1.161,116.159,78.13,1,5.199999999999999,-19.39999999999999,19.39999999999999,7.199999999999999,0.07700000000000007,75.077,13.787000000000003,4.963239999999999,-0.06499999999999995,-6.569000000000003,0.7319999999999993
226,2018,Arizona,4,64,64,Buffalo,13,32,17.3,100.1,117.4,3.8,0.862,82.727,22.509,79.41176,1.16,115.915,78.636,11.0,117.4,100.1,-1.3,0.763,10.891,14.057,75.75758,1.135,113.539,76.586,0,6.300000000000001,-17.30000000000001,17.30000000000001,5.1,0.09899999999999998,71.836,8.452,3.6541799999999967,0.02499999999999991,2.3760000000000048,2.049999999999997
227,2018,Miami FL,6,64,64,Loyola Chicago,11,4,17.1,95.5,112.6,2.7,0.869,81.652,28.51,70.96774,1.081,107.873,77.114,12.2,112.6,95.5,2.0,0.797,16.801,14.914,84.375,1.088,108.717,76.466,0,4.900000000000002,-17.099999999999994,17.099999999999994,0.7000000000000002,0.07199999999999995,64.851,13.596000000000002,-13.407259999999994,-0.007000000000000117,-0.8439999999999941,0.6480000000000103
228,2018,Tennessee,3,32,64,Wright St.,14,64,22.0,92.3,114.3,6.4,0.921,47.881,32.934,75.75758,1.094,109.697,76.811,3.1,114.3,92.3,-3.5,0.59,0.375,11.684,71.875,1.015,101.383,76.807,1,18.9,-22.0,22.0,9.9,0.33100000000000007,47.506,21.25,3.8825800000000044,0.07900000000000018,8.314000000000007,0.0040000000000048885
229,2018,Nevada,7,16,64,Texas,10,64,16.5,101.5,118.0,2.5,0.85,57.081,19.663,79.41176,1.161,116.286,78.302,15.9,118.0,101.5,1.4,0.861,74.625,36.484,57.57576,1.036,103.408,77.743,1,0.5999999999999996,-16.5,16.5,1.1,-0.01100000000000001,-17.543999999999997,-16.821,21.836,0.125,12.878,0.5590000000000117
230,2018,Cincinnati,2,32,64,Georgia St.,15,64,24.6,86.5,111.1,5.9,0.947,63.963,21.576,88.23529,1.122,112.022,77.445,6.5,111.1,86.5,-5.1,0.673,31.565,9.801,68.75,1.086,108.676,76.699,1,18.1,-24.599999999999994,24.599999999999994,11.0,0.2739999999999999,32.397999999999996,11.775,19.485290000000006,0.03600000000000003,3.3460000000000036,0.7459999999999951
231,2018,Xavier,1,32,64,Texas Southern,16,64,24.1,97.3,121.4,8.8,0.927,76.28,31.853,84.84848,1.155,115.53,78.483,-8.1,121.4,97.3,-10.9,0.298,30.177,18.818,44.11765,1.063,106.41,75.756,1,32.2,-24.10000000000001,24.10000000000001,19.700000000000003,0.629,46.103,13.035,40.73083,0.09200000000000008,9.120000000000005,2.727000000000004
232,2018,Missouri,8,64,64,Florida St.,9,8,16.7,96.3,113.0,0.4,0.863,45.402,29.725,61.29032,1.084,108.104,77.943,16.1,113.0,96.3,1.0,0.851,59.86,29.762,64.51613,1.11,110.767,78.496,0,0.5999999999999979,-16.700000000000003,16.700000000000003,-0.6,0.01200000000000001,-14.457999999999998,-0.036999999999999034,-3.2258100000000027,-0.026000000000000023,-2.6629999999999967,-0.5529999999999973
233,2018,Ohio St.,5,32,64,South Dakota St.,12,64,22.5,93.6,116.1,4.5,0.923,59.776,29.904,75.0,1.111,111.339,76.726,12.4,116.1,93.6,0.6,0.79,2.923,15.634,80.0,1.142,114.095,76.865,1,10.1,-22.5,22.5,3.9,0.133,56.853,14.27,-5.0,-0.030999999999999917,-2.7560000000000002,-0.1389999999999958
234,2018,Gonzaga,4,16,64,UNC Greensboro,13,64,23.1,95.2,118.3,4.9,0.924,73.63,19.117,88.23529,1.199,120.03,78.446,7.3,118.3,95.2,-1.6,0.699,0.208,12.559,77.41935,1.066,106.847,77.161,1,15.8,-23.099999999999994,23.099999999999994,6.5,0.2250000000000001,73.422,6.558000000000002,10.815940000000012,0.133,13.183000000000007,1.2849999999999966
235,2018,Houston,6,32,64,San Diego St.,11,64,19.5,95.1,114.6,2.4,0.895,24.411,20.996,78.78788,1.132,112.888,75.56,14.9,114.6,95.1,-1.5,0.841,61.723,19.129,67.74194,1.095,109.484,78.323,1,4.6,-19.5,19.5,3.9,0.05400000000000005,-37.312,1.8669999999999973,11.045940000000002,0.03699999999999992,3.4040000000000106,-2.762999999999991
236,2018,Michigan,3,2,64,Montana,14,64,21.8,92.5,114.3,6.9,0.919,56.368,32.027,79.41176,1.114,111.172,77.771,8.5,114.3,92.5,-1.1,0.72,16.392,13.047,77.41935,1.101,110.016,76.629,1,13.3,-21.799999999999997,21.799999999999997,8.0,0.19900000000000007,39.976,18.98,1.9924100000000067,0.013000000000000123,1.1559999999999917,1.141999999999996
237,2018,Texas A&M,7,16,64,Providence,10,64,16.7,93.6,110.3,1.9,0.869,82.201,33.417,62.5,1.062,105.931,78.789,12.2,110.3,93.6,1.9,0.797,60.949,34.553,61.76471,1.042,104.379,77.674,1,4.5,-16.700000000000003,16.700000000000003,0.0,0.07199999999999995,21.251999999999995,-1.1359999999999957,0.7352899999999991,0.020000000000000018,1.5519999999999925,1.1149999999999949
238,2018,North Carolina,2,32,64,Lipscomb,15,64,24.4,96.8,121.2,7.1,0.93,77.447,39.014,71.42857,1.144,114.305,77.462,0.8,121.2,96.8,-3.2,0.523,5.68,15.067,68.96552,1.039,104.015,77.268,1,23.599999999999998,-24.400000000000006,24.400000000000006,10.3,0.40700000000000003,71.767,23.947000000000003,2.4630499999999955,0.10499999999999998,10.290000000000006,0.19400000000000261
239,2018,Villanova,1,1,64,Radford,16,64,32.3,95.4,127.7,10.6,0.966,80.592,32.489,88.23529,1.227,122.829,77.329,-1.7,127.7,95.4,-6.5,0.453,1.613,12.213,62.5,1.039,104.001,74.782,1,34.0,-32.3,32.3,17.1,0.5129999999999999,78.979,20.275999999999996,25.735290000000006,0.18800000000000017,18.82799999999999,2.546999999999997
240,2018,Virginia Tech,8,64,64,Alabama,9,32,16.0,98.4,114.4,1.3,0.85,75.538,29.946,65.625,1.127,112.152,76.79,12.2,114.4,98.4,-1.1,0.801,73.914,30.311,55.88235,1.03,102.776,78.097,0,3.8000000000000007,-16.0,16.0,2.4000000000000004,0.04899999999999993,1.6239999999999952,-0.36499999999999844,9.742649999999998,0.09699999999999998,9.376000000000005,-1.306999999999988
241,2018,West Virginia,5,16,64,Murray St.,12,64,23.8,95.3,119.1,4.6,0.929,38.54,33.146,70.58824,1.125,113.004,77.304,9.9,119.1,95.3,-0.4,0.745,0.2,10.363,82.75862,1.143,114.708,76.282,1,13.9,-23.799999999999997,23.799999999999997,5.0,0.18400000000000005,38.339999999999996,22.783,-12.170379999999994,-0.018000000000000016,-1.7039999999999935,1.0220000000000056
242,2018,Wichita St.,4,64,64,Marshall,13,32,18.9,101.5,120.4,3.4,0.877,38.199,24.125,78.125,1.178,117.841,77.803,4.4,120.4,101.5,-2.5,0.618,2.18,16.115,69.69697,1.088,108.999,76.631,0,14.499999999999998,-18.900000000000006,18.900000000000006,5.9,0.259,36.019,8.010000000000002,8.428030000000007,0.08999999999999986,8.841999999999999,1.171999999999997
243,2018,Florida,6,32,64,St. Bonaventure,11,64,20.8,95.2,116.0,1.4,0.907,69.428,31.853,62.5,1.102,109.73,76.89,9.8,116.0,95.2,1.4,0.744,5.279,18.499,78.125,1.109,111.094,76.517,1,11.0,-20.799999999999997,20.799999999999997,0.0,0.16300000000000003,64.149,13.354000000000003,-15.625,-0.006999999999999895,-1.36399999999999,0.37300000000000466
244,2018,Texas Tech,3,8,64,Stephen F. Austin,14,64,21.8,91.1,112.9,4.7,0.922,36.705,31.897,72.72727,1.093,109.214,77.621,5.8,112.9,91.1,-1.9,0.659,16.014,9.583,80.0,1.075,107.235,76.338,1,16.0,-21.80000000000001,21.80000000000001,6.6,0.263,20.691,22.314,-7.272729999999996,0.018000000000000016,1.9789999999999992,1.2830000000000013
245,2018,Arkansas,7,64,64,Butler,10,32,16.7,100.3,117.0,2.8,0.855,39.343,30.695,67.64706,1.125,112.175,77.141,19.9,117.0,100.3,1.7,0.898,52.743,35.194,60.60606,1.108,110.897,76.655,0,-3.1999999999999993,-16.700000000000003,16.700000000000003,1.0999999999999999,-0.04300000000000004,-13.399999999999999,-4.499000000000002,7.040999999999997,0.016999999999999904,1.2779999999999916,0.4860000000000042
246,2018,Purdue,2,16,64,Cal St. Fullerton,15,64,29.2,94.4,123.6,7.6,0.957,59.458,30.493,82.35294,1.186,118.518,77.695,-1.2,123.6,94.4,-5.5,0.467,0.2,12.991,62.06897,1.032,102.99,76.687,1,30.4,-29.19999999999999,29.19999999999999,13.1,0.48999999999999994,59.257999999999996,17.502,20.283970000000004,0.15399999999999991,15.528000000000006,1.0079999999999956
247,2018,Kansas,1,4,64,Penn,16,64,26.0,95.7,121.7,8.2,0.941,80.44,34.024,79.41176,1.162,116.004,77.704,5.5,121.7,95.7,-3.3,0.653,14.406,10.435,74.19355,1.053,105.352,76.057,1,20.5,-26.0,26.0,11.5,0.2879999999999999,66.03399999999999,23.589,5.218209999999999,0.10899999999999999,10.652000000000001,1.6469999999999914
248,2018,Seton Hall,8,32,64,North Carolina St.,9,64,19.1,97.4,116.5,2.5,0.887,61.137,32.678,65.625,1.105,110.561,78.034,13.7,116.5,97.4,0.9,0.812,43.838,28.427,65.625,1.123,111.861,76.427,1,5.400000000000002,-19.099999999999994,19.099999999999994,1.6,0.07499999999999996,17.299,4.250999999999998,0.0,-0.018000000000000016,-1.2999999999999972,1.6069999999999993
249,2018,Clemson,5,16,64,New Mexico St.,12,64,17.9,93.7,111.6,4.0,0.882,54.866,31.364,71.875,1.083,108.129,77.357,12.7,111.6,93.7,1.3,0.811,16.867,14.546,83.33333,1.078,107.914,75.443,1,5.199999999999999,-17.89999999999999,17.89999999999999,2.7,0.07099999999999995,37.998999999999995,16.818,-11.458330000000004,0.004999999999999893,0.2150000000000034,1.9140000000000015
250,2018,Auburn,4,32,64,College of Charleston,13,64,19.9,97.1,117.0,4.3,0.895,58.941,25.991,78.125,1.135,113.46,75.841,1.6,117.0,97.1,-2.1,0.543,4.156,10.655,77.41935,1.117,111.949,76.811,1,18.299999999999997,-19.900000000000006,19.900000000000006,6.4,0.352,54.785000000000004,15.336,0.7056500000000057,0.018000000000000016,1.5109999999999957,-0.9700000000000131
251,2018,TCU,6,64,64,Syracuse,11,16,19.3,101.1,120.4,2.2,0.882,29.047,31.458,65.625,1.159,116.043,78.077,13.3,120.4,101.1,-0.4,0.823,81.271,29.15,60.60606,1.03,103.016,80.1,0,6.0,-19.30000000000001,19.30000000000001,2.6,0.05900000000000005,-52.224000000000004,2.308,5.018940000000001,0.129,13.027000000000001,-2.022999999999996
252,2018,Michigan St.,3,32,64,Bucknell,14,64,25.7,93.7,119.4,8.0,0.942,84.499,27.212,87.87879,1.182,117.987,77.332,5.7,119.4,93.7,-3.0,0.652,0.2,12.477,73.52941,1.103,110.427,77.029,1,20.0,-25.700000000000003,25.700000000000003,11.0,0.2899999999999999,84.29899999999999,14.735,14.349379999999996,0.07899999999999996,7.559999999999988,0.30299999999999727
253,2018,Rhode Island,7,32,64,Oklahoma,10,64,13.7,96.5,110.2,1.6,0.822,56.579,19.269,78.125,1.097,109.867,75.66,16.6,110.2,96.5,1.1,0.855,70.869,35.193,58.06452,1.101,109.892,77.895,1,-2.900000000000002,-13.700000000000003,13.700000000000003,0.5,-0.03300000000000003,-14.29,-15.924,20.06048,-0.0040000000000000036,-0.024999999999991473,-2.2349999999999994
254,2018,Duke,2,8,64,Iona,15,64,29.3,93.9,123.2,6.6,0.958,92.943,31.36,78.78788,1.188,118.705,79.097,1.5,123.2,93.9,-7.3,0.54,0.2,11.688,60.60606,1.094,109.478,75.88,1,27.8,-29.299999999999997,29.299999999999997,13.899999999999999,0.4179999999999999,92.743,19.671999999999997,18.181820000000002,0.09399999999999986,9.227000000000004,3.2169999999999987
255,2018,UMBC,16,32,32,Kansas St.,9,8,-3.0,105.5,102.5,-4.9,0.418,10.296,11.536,67.74194,1.05,104.772,75.848,16.5,102.5,105.5,2.6,0.862,47.73,31.68,66.66667,1.082,108.258,77.082,0,-19.5,3.0,-3.0,-7.5,-0.444,-37.434,-20.144,1.0752700000000033,-0.03200000000000003,-3.48599999999999,-1.2339999999999947
256,2018,Kentucky,5,16,32,Buffalo,13,32,19.4,95.7,115.1,4.3,0.893,95.962,31.972,70.58824,1.096,109.59,78.862,11.0,115.1,95.7,-1.3,0.763,10.891,14.057,75.75758,1.135,113.539,76.586,1,8.399999999999999,-19.39999999999999,19.39999999999999,5.6,0.13,85.071,17.915,-5.169340000000005,-0.038999999999999924,-3.948999999999998,2.2759999999999962
257,2018,Loyola Chicago,11,4,32,Tennessee,3,32,12.2,96.8,109.0,2.0,0.797,16.801,14.914,84.375,1.088,108.717,76.466,22.0,109.0,96.8,6.4,0.921,47.881,32.934,75.75758,1.094,109.697,76.811,1,-9.8,-12.200000000000003,12.200000000000003,-4.4,-0.124,-31.080000000000002,-18.019999999999996,8.617419999999996,-0.006000000000000005,-0.980000000000004,-0.3450000000000131
258,2018,Nevada,7,16,32,Cincinnati,2,32,16.5,101.5,118.0,2.5,0.85,57.081,19.663,79.41176,1.161,116.286,78.302,24.6,118.0,101.5,5.9,0.947,63.963,21.576,88.23529,1.122,112.022,77.445,1,-8.100000000000001,-16.5,16.5,-3.4000000000000004,-0.09699999999999998,-6.881999999999998,-1.9130000000000003,-8.823530000000005,0.038999999999999924,4.263999999999996,0.8570000000000135
259,2018,Xavier,1,32,32,Florida St.,9,8,24.1,97.3,121.4,8.8,0.927,76.28,31.853,84.84848,1.155,115.53,78.483,16.1,121.4,97.3,1.0,0.851,59.86,29.762,64.51613,1.11,110.767,78.496,0,8.0,-24.10000000000001,24.10000000000001,7.800000000000001,0.07600000000000007,16.42,2.091000000000001,20.33234999999999,0.04499999999999993,4.763000000000005,-0.012999999999991019
260,2018,Ohio St.,5,32,32,Gonzaga,4,16,22.5,93.6,116.1,4.5,0.923,59.776,29.904,75.0,1.111,111.339,76.726,23.1,116.1,93.6,4.9,0.924,73.63,19.117,88.23529,1.199,120.03,78.446,0,-0.6000000000000014,-22.5,22.5,-0.40000000000000036,-0.0010000000000000009,-13.853999999999992,10.786999999999999,-13.235290000000006,-0.08800000000000008,-8.691000000000003,-1.7199999999999989
261,2018,Houston,6,32,32,Michigan,3,2,19.5,95.1,114.6,2.4,0.895,24.411,20.996,78.78788,1.132,112.888,75.56,21.8,114.6,95.1,6.9,0.919,56.368,32.027,79.41176,1.114,111.172,77.771,0,-2.3000000000000007,-19.5,19.5,-4.5,-0.02400000000000002,-31.957,-11.031000000000002,-0.6238799999999998,0.017999999999999794,1.7160000000000082,-2.2109999999999985
