,year,team_1,seed_1,round_1,current_round,team_2,seed_2,round_2,badj_em_1,badj_em_2,barthag_1,barthag_2,elite_sos_1,elite_sos_2,k_off_1,k_off_2,pppo_1,pppo_2,talent_1,talent_2,wab_1,wab_2,win_percent_1,win_percent_2,winner,badj_em_diff,wab_diff,barthag_diff,talent_diff,elite_sos_diff,win_percent_diff,pppo_diff,k_off_diff
16,2023,Houston,1,16,64,Northern Kentucky,16,64,29.1,0.0,0.964,0.5,23.376,10.838,116.021,104.474,1.158,1.044,68.424,3.153,8.1,-6.7,91.17647059,62.5,1,29.1,14.8,0.46399999999999997,65.271,12.538000000000002,28.676470589999994,0.11399999999999988,11.546999999999997
17,2023,Iowa,8,64,64,Auburn,9,32,16.2,17.7,0.844,0.881,30.692,30.519,113.509,105.387,1.139,1.054,48.548,47.081,0.3,1.1,59.375,62.5,0,-1.5,-0.8,-0.03700000000000003,1.4669999999999987,0.17300000000000182,-3.125,0.08499999999999996,8.122
18,2023,Miami FL,5,4,64,Drake,12,64,15.9,11.8,0.842,0.791,23.676,12.124,114.539,108.714,1.147,1.084,44.964,12.076,3.7,-0.7,78.125,78.78787879,1,4.1,4.4,0.050999999999999934,32.888,11.551999999999998,-0.6628787899999935,0.06299999999999994,5.825000000000003
19,2023,Indiana,4,32,64,Kent St.,13,64,16.7,11.0,0.864,0.779,33.014,14.799,108.931,108.778,1.092,1.088,83.728,0.364,3.4,0.9,66.66666667,81.25,1,5.699999999999999,2.5,0.08499999999999996,83.36399999999999,18.215000000000003,-14.583333330000002,0.0040000000000000036,0.1529999999999916
20,2023,Iowa St.,6,64,64,Pittsburgh,11,32,18.2,11.0,0.893,0.766,37.116,23.352,103.094,111.897,1.031,1.117,35.584,25.648,2.4,-0.2,59.375,66.66666667,0,7.199999999999999,2.6,0.127,9.936000000000003,13.764,-7.291666669999998,-0.08600000000000008,-8.803000000000011
21,2023,Xavier,3,16,64,Kennesaw St.,14,64,20.2,4.5,0.895,0.623,31.866,14.413,112.788,105.334,1.129,1.054,53.584,21.424,5.2,-1.4,73.52941176,74.19354839,1,15.7,6.6,0.272,32.160000000000004,17.453,-0.6641366300000016,0.07499999999999996,7.4539999999999935
22,2023,Texas A&M,7,64,64,Penn St.,10,32,18.4,15.5,0.885,0.84,27.473,29.963,108.864,109.964,1.087,1.101,48.574,28.67,3.7,1.3,73.52941176,62.85714286,0,2.8999999999999986,2.4000000000000004,0.04500000000000004,19.903999999999996,-2.490000000000002,10.672268899999999,-0.014000000000000012,-1.0999999999999943
23,2023,Texas,2,8,64,Colgate,15,64,23.0,5.9,0.929,0.651,34.531,8.434,109.362,114.974,1.095,1.15,67.877,0.2,7.6,-3.6,76.47058824,75.75757576,1,17.1,11.2,0.278,67.67699999999999,26.097,0.7130124800000033,-0.05499999999999994,-5.612000000000009
24,2023,Kansas,1,32,64,Howard,16,64,21.4,-4.8,0.918,0.37,38.229,9.971,106.078,103.037,1.062,1.033,69.643,10.987,10.1,-7.3,79.41176471,61.29032258,1,26.2,17.4,0.548,58.656,28.258,18.12144213,0.029000000000000137,3.040999999999997
25,2023,Arkansas,8,16,64,Illinois,9,64,18.7,14.6,0.894,0.839,30.654,30.112,105.743,106.287,1.058,1.065,70.997,80.461,0.4,0.9,60.60606061,62.5,1,4.1,-0.5,0.05500000000000005,-9.463999999999999,0.5420000000000016,-1.89393939,-0.006999999999999895,-0.5440000000000111
